Sample Name,400-410,410-420,420-430,430-440,440-450,450-460,460-470,470-480,480-490,490-500,500-510,510-520,520-530,530-540,540-550,550-560,560-570,570-580,580-590,590-600,600-610,610-620,620-630,630-640,640-650,650-660,660-670,670-680,680-690,690-700,700-710,710-720,720-730,730-740,740-750,750-760,760-770,770-780,780-790,790-800,Class
1,0,0,0,0,0,0,0,0,0,0,0,0.00012,0.000917,0.001975,0.002384,0.002991,0.005983,0.015055,0.017869,0.012253,0.011441,0.012312,0.014745,0.021647,0.028206,0.01904,0.005895,0.003484,0.002749,0.003545,0.005665,0.004675,0.001911,0.001118,0.000817,0.000795,0.00065,0.000247,0.000024,0,Non-Drinkable
2,0,0,0,0,0,0,0,0,0,0,0.000077,0.000298,0.001063,0.002066,0.002345,0.003038,0.006312,0.015509,0.0177,0.012026,0.011675,0.01243,0.014808,0.021341,0.027203,0.018239,0.005933,0.003809,0.003358,0.004119,0.005588,0.004988,0.002627,0.001329,0.000883,0.000654,0.000541,0.000332,0.000066,0,Non-Drinkable
3,0,0,0,0,0,0,0,0,0,0,0.00001,0.000468,0.001266,0.002015,0.002438,0.003554,0.007061,0.014906,0.01705,0.011844,0.011167,0.011739,0.014016,0.020595,0.025302,0.01779,0.006921,0.005049,0.00458,0.004241,0.004975,0.004304,0.002504,0.001257,0.000901,0.000839,0.000714,0.000348,0.000067,0.000023,Non-Drinkable
4,0,0,0,0.000004,0.000009,0.000125,0.000479,0.001282,0.002058,0.003347,0.007401,0.016043,0.018388,0.013563,0.012616,0.013291,0.01645,0.021217,0.021096,0.01368,0.006243,0.004148,0.003743,0.003446,0.005371,0.005786,0.003059,0.001493,0.000951,0.000678,0.000478,0.000311,0.000183,0.000191,0.00008,0,0,0,0,0,Non-Drinkable
5,0,0,0,0.000012,0.000072,0.000195,0.000603,0.001593,0.002566,0.00421,0.008651,0.015903,0.016982,0.012759,0.012486,0.012642,0.015587,0.020699,0.02238,0.01502,0.006319,0.004415,0.003601,0.003464,0.005767,0.006042,0.002968,0.001559,0.000927,0.000743,0.000577,0.000368,0.000218,0.00018,0.000127,0.000025,0,0,0,0,Non-Drinkable
6,0,0,0,0.000024,0.000134,0.000271,0.00045,0.001178,0.002153,0.003397,0.007381,0.015371,0.017691,0.013232,0.012221,0.013092,0.01595,0.020344,0.021177,0.014453,0.006426,0.004784,0.00463,0.003639,0.005259,0.005453,0.002664,0.001322,0.000928,0.000852,0.000704,0.000524,0.00023,0.000105,0.000059,0.000015,0,0,0,0,Non-Drinkable
7,0,0,0,0,0,0,0,0,0,0,0.000038,0.000666,0.001298,0.001492,0.002276,0.004329,0.009481,0.015565,0.015725,0.012446,0.011559,0.01311,0.018532,0.022751,0.023109,0.013807,0.004634,0.00517,0.004494,0.005387,0.004839,0.001939,0.001037,0.000786,0.000795,0.000741,0.000435,0.000154,0.000093,0.000001,Non-Drinkable
8,0,0,0,0,0,0,0,0,0,0,0.000011,0.000559,0.001291,0.001594,0.002221,0.004356,0.009259,0.01634,0.017006,0.013148,0.012199,0.013259,0.019122,0.024216,0.02441,0.013742,0.003474,0.003994,0.003653,0.005166,0.004969,0.001728,0.000843,0.000859,0.00101,0.000747,0.000251,0.000012,0,0,Non-Drinkable
9,0,0,0,0,0,0,0,0,0,0,0.000025,0.000641,0.001439,0.001668,0.002175,0.003961,0.008718,0.015742,0.016236,0.012581,0.012193,0.013194,0.018073,0.023761,0.026085,0.015594,0.003993,0.003662,0.003128,0.005278,0.00531,0.00193,0.001112,0.000861,0.000833,0.000739,0.000419,0.000155,0.000028,0,Non-Drinkable
10,0,0,0,0,0.00002,0.00005,0.000411,0.001367,0.001822,0.002888,0.006513,0.01479,0.019652,0.016776,0.014459,0.01471,0.017161,0.017681,0.019327,0.015068,0.006604,0.00429,0.00285,0.002146,0.003156,0.003929,0.002416,0.001053,0.000723,0.000584,0.000401,0.000279,0.000244,0.000204,0.000063,0.000005,0,0,0,0,Non-Drinkable
11,0.000001,0.000003,0.000019,0.000033,0.000036,0.00008,0.000476,0.001212,0.001705,0.003311,0.007887,0.015726,0.018957,0.015513,0.013473,0.013923,0.017176,0.018212,0.018972,0.014924,0.007232,0.004948,0.002988,0.002502,0.003084,0.003654,0.002792,0.001268,0.000799,0.000568,0.000586,0.000502,0.000323,0.000169,0.000042,0,0,0,0,0,Non-Drinkable
